Emp ID,Name,Gender,Department,Salary,Start Date,FTE,Employee type,Work location
TN02397,Mendel  Gentsch,Male,Human Resources,"$28,329.77",29-Oct-18,1,Permanent,"Seattle, USA"
TN04265,Rey Chartman,Female,Training,"$93,964.30",9/15/2021,0.4,Fixed Term,"Hyderabad, India"
TN02204,Aldrich Glenny,Male,Business Development,"$90,884.32",7/27/2020,0.5,Permanent,"Columbus, USA"
PR01306,Patti Dradey,Male,Services,"$84,742.86",24-Sep-20,1,Permanent,"Auckland, New Zealand"
VT03771,Marjie Bamford,Male,Sales,"$80,772.92","Nov 2, 2020",1,Temporary,Remote
SQ04613,Kelly Corkitt,Female,Human Resources,"$85,264.38","Apr 30, 2018",1,Permanent,"Chennai, India"
SQ04116,Claretta MacQuist,Male,Human Resources,,18-Feb-19,1,Permanent,"Columbus, USA"
VT03421,Alic Bagg,Male,Legal,"$113,747.56",15-Mar-21,0.7,Temporary,"Columbus, USA"
PR02436,Marmaduke Worssam,Female,Engineering,"$78,378.20",12/31/2018,0.4,Permanent,Remote
VT00534,Roselle Wandrach,Male,Sales,"$91,314.75",4/10/2020,1,Fixed Term,"Seattle, USA"
PR03804,Vere Kulic,Male,Legal,"$66,572.58",28-Dec-20,1,Permanent,"Chennai, India"
TN01396,Koral Gerriet,Male,Support,"$30,077.45",1/9/2019,1,Permanent,"Wellington, New Zealand"
TN02377,Anjela Spancock,,Accounting,"$98,012.63",11/11/2019,1,Permanent,Remote
PR03532,Crawford Scad,Male,Human Resources,"$72,876.91",1/7/2020,1,Permanent,Remote
TN02988,Hobie Stockbridge,Male,Engineering,"$92,943.89",11/10/2021,1,Permanent,"Hyderabad, India"
VT04905,Bryant Scamp,Female,Human Resources,"$29,808.07",10-Jul-18,0.3,Temporary,"Hyderabad, India"
PR04366,Carry Loblie,Female,Sales,"$47,551.89",1/3/2019,1,Permanent,"Auckland, New Zealand"
TN03032,Debera Gow,Female,Research and Development,"$39,700.82",1/7/2021,0.8,Permanent,"Chennai, India"
TN04775,Desi Peniman,Female,Legal,"$31,089.22",11/7/2019,1,Fixed Term,"Chennai, India"
SQ03625,Fidela Artis,Female,Sales,"$78,020.39",3/9/2020,1,Permanent,Remote
